model,metric,K,type,silhouette_cosine,DBI,CH,NMI,ARI,Purity
KMeans,cosine,16.0,unsupervised,0.2973321080207824,2.510483659023347,1328.5261712456845,,,
KMeans,cosine,16.0,supervised,,,,0.9015747425688928,0.86415007540561,0.9238347341993232
DBSCAN,cosine,,unsupervised,0.9863223433494568,0.1161278165501226,16175.460730335277,,,
DBSCAN,cosine,,supervised,,,,0.0916796671402061,0.0031090495629704,0.1560692064185132
GMM,cosine,16.0,unsupervised,0.27625760436058044,2.7835552420450806,1275.0603800688548,,,
GMM,cosine,16.0,supervised,,,,0.8353076116130351,0.7478776832344087,0.8616690317650911
