algorithm,trial_seed,runtime,n_comm,mean_size,modularity,coverage_w,conductance_avg
Louvain,2039,0.04744219779968262,28,20.321428571428573,0.6134840626293621,0.707977207977208,0.1918574978500448
Leiden,2044,0.021533966064453125,26,21.884615384615383,0.6087813410605435,0.6954415954415955,0.19638663232103018
Infomap,2031,0.0843970775604248,57,9.982456140350877,0.5717944253699241,0.6136752136752137,0.34520297461986144
LabelPropagation,2025,0.012955904006958008,38,14.973684210526315,0.4342467999448056,0.8290598290598291,0.27696522280306846
