STT,Diễn viên,Link_Wikipedia,Họ và tên,Ngày sinh,Quốc tịch,Nghề nghiệp,Năm hoạt động,Link ảnh
347,Kiến An,https://vi.wikipedia.org/wiki/Hu%E1%BB%B3nh_Ki%E1%BA%BFn_An,,,Việt Nam,,2004 - nay,
348,Đào Anh Tuấn,nan,,,,,,
349,Nam Thư,https://vi.wikipedia.org/wiki/Nam_Th%C6%B0,Trần Thị Nam Thư,"Trần Thị Nam Thư; 9 tháng 12, 1987 (37 tuổi); Vũng Tàu, Bà Rịa – Vũng Tàu, Việt Nam",,Diễn viênNgười dẫn chương trìnhNhà làm phim,2007 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Namthu2022.jpg
350,Uyển Ân,nan,,,,,,
351,Hồng Đào,https://vi.wikipedia.org/wiki/H%E1%BB%93ng_%C4%90%C3%A0o_(di%E1%BB%85n_vi%C3%AAn),Nguyễn Đình Hồng Đào,"Nguyễn Đình Hồng Đào; 25 tháng 9, 1962 (62 tuổi); Buôn Mê Thuột, Đắk Lắk, Việt Nam Cộng hòa",,Diễn viên,1981 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Hongdao.jpg
352,Anh Phạm,nan,,,,,,
353,Thanh Hằng,https://vi.wikipedia.org/wiki/Thanh_H%E1%BA%B1ng_(ngh%E1%BB%87_s%C4%A9_c%E1%BA%A3i_l%C6%B0%C6%A1ng),,,Việt Nam,,1975 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Thanh_H%E1%BA%B1ng.png
354,Anh Đức,nan,,,,,,
355,Anh Tú Atus,https://vi.wikipedia.org/wiki/Anh_T%C3%BA_(sinh_1993),Bùi Anh Tú,"Bùi Anh Tú; 3 tháng 10, 1993 (31 tuổi); Hà Nội, Việt Nam",Việt Nam,Diễn viênCa sĩ,2012–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:ANH_TU_2023.jpg
356,Ngọc Phước,https://vi.wikipedia.org/w/index.php?title=Ng%E1%BB%8Dc_Ph%C6%B0%E1%BB%9Bc&action=edit&redlink=1,,,,,,
357,Doãn Quốc Đam,https://vi.wikipedia.org/wiki/Do%C3%A3n_Qu%E1%BB%91c_%C4%90am,Đào Trọng Hùng,"Đào Trọng Hùng; 9 tháng 9, 1988 (37 tuổi); Thái Nguyên, Việt Nam",Việt Nam,Diễn viênNgười mẫu,2011–nay,
358,Cao Thị Thùy Linh,nan,,,,,,
359,Tuấn Hưng,https://vi.wikipedia.org/wiki/Tu%E1%BA%A5n_H%C6%B0ng,Nguyễn Tuấn Hưng,"Nguyễn Tuấn Hưng; 5 tháng 10, 1978 (46 tuổi); Hà Nội, Việt Nam",Việt Nam,Ca sĩ,1995 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Tu%E1%BA%A5n_H%C6%B0ng_ATVNCG2024_(cropped).jpg
360,Thiện Hùng,nan,,,,,,
361,Trung Hiếu,https://vi.wikipedia.org/wiki/Trung_Hi%E1%BA%BFu_(di%E1%BB%85n_vi%C3%AAn),,,Việt Nam,,1993 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Trung_Hieu_(nghe_sy).jpg
362,Anh Tuấn,nan,,,,,,
363,Nguyệt Hằng,https://vi.wikipedia.org/wiki/Nguy%E1%BB%87t_H%E1%BA%B1ng,,,,,,
364,Xuân Hồng,nan,,,,,,
365,Văn Lượng,nan,,,,,,
366,Phạm Minh Quang,nan,,,,,,
367,Tùng Lee,nan,,,,,,
368,Hải Quân,nan,,,,,,
369,Tiến Lợi,nan,,,,,,
370,Ngọc Ánh,nan,,,,,,
371,Thùy Trang,nan,,,,,,
372,Bùi Hải Vy,nan,,,,,,
373,Nguyễn Diệu Thúy,nan,,,,,,
374,Anh Đào,nan,,,,,,
375,Nguyễn Văn Toàn,nan,,,,,,
376,NSND Trung Anh,https://vi.wikipedia.org/wiki/Trung_Anh,,,Việt Nam,,1995 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Trung_Anh.png
377,Vĩnh Xương,https://vi.wikipedia.org/wiki/V%C4%A9nh_X%C6%B0%C6%A1ng_(di%E1%BB%85n_vi%C3%AAn),,,Việt Nam,,2002–nay,
378,Thu Hường,https://vi.wikipedia.org/wiki/Thu_H%C6%B0%E1%BB%9Dng,,"29 tháng 7, 1976 (49 tuổi); Hà Nội, Việt Nam",,Diễn viên,1998 – nay,
379,Trang Nhung,https://vi.wikipedia.org/wiki/Trang_Nhung,,"8 tháng 12, 1973 (51 tuổi)",,Ca sĩ Doanh nhân Diễn viên nhạc sĩ,,
380,Hứa Minh Đạt,nan,,,,,,
381,Lâm Vỹ Dạ,https://vi.wikipedia.org/wiki/L%C3%A2m_V%E1%BB%B9_D%E1%BA%A1,Lê Thị Vỹ Dạ,"Lê Thị Vỹ Dạ; 1 tháng 9, 1989 (36 tuổi); Huế, Việt Nam",Việt Nam,Diễn viênNghệ sĩ hàiNgười dẫn chương trình,2005 – nay,
382,Thanh Trâm,nan,,,,,,
383,Kim Tử Long,https://vi.wikipedia.org/wiki/Kim_T%E1%BB%AD_Long,Hoàng Kim Long,"Hoàng Kim Long; 17 tháng 10, 1966 (58 tuổi); Sài Gòn, Việt Nam Cộng hòa",Việt Nam,Diễn viênNghệ sĩ cải lương,1990 – nay,
384,NSƯT Lê Thiện,https://vi.wikipedia.org/wiki/L%C3%AA_Thi%E1%BB%87n_(ngh%E1%BB%87_s%C4%A9),,,Việt Nam,,1957 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:L%C3%AA_Thi%E1%BB%87n.png
385,Kim Huyền,https://vi.wikipedia.org/wiki/Kim_Huy%E1%BB%81n,,,Việt Nam,,2000-nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Kim_Huy%E1%BB%81n_(cropped).jpg
386,Cao Minh Đạt,https://vi.wikipedia.org/wiki/Cao_Minh_%C4%90%E1%BA%A1t,,,Việt Nam,,1995 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:CaoMinhDat1975.jpg
387,Bạch Công Khanh,https://vi.wikipedia.org/wiki/B%E1%BA%A1ch_C%C3%B4ng_Khanh,,,Việt Nam;  Hoa Kỳ,,2009 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Bach_Cong_Khanh.png
388,Bạch Long,nan,,,,,,
389,Chí Tâm,nan,,,,,,
390,Maya,https://vi.wikipedia.org/wiki/Maya_(di%E1%BB%85n_vi%C3%AAn),Mai Thu Hường,"13 tháng 7, 1988 (37 tuổi); Hà Nội, Việt Nam",,Ca sĩ; Người mẫu; Diễn viên,,
391,Mai Thu Huyền,https://vi.wikipedia.org/wiki/Mai_Thu_Huy%E1%BB%81n,,"8 tháng 3, 1979 (46 tuổi); Hà Nội, Việt Nam",Việt Nam,Diễn viênNgười mẫuDoanh nhânNgười dẫn chương trìnhNhà làm phim,1995 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:MaiThuHuyen1979.jpg
392,Danh ca Nhật Hạ,nan,,,,,,
393,Trizzie Phương Trinh,nan,,,,,,
394,Baggio Saetti,nan,,,,,,
395,Đức Tiến,nan,,,,,,
396,Nguyễn Anh Dũng,nan,,,,,,
397,Jacqueline Thu Thảo,nan,,,,,,
398,Tôn Kinh Lâm,nan,,,,,,
399,Khánh Vân,nan,,,,,,
400,Khazsak,nan,,,,,,
401,Xuân Lan,https://vi.wikipedia.org/wiki/Xu%C3%A2n_Lan,Nguyễn Thị Xuân Lan,"Nguyễn Thị Xuân Lan; 12 tháng 8, 1978 (47 tuổi); Thành phố Hồ Chí Minh, Việt Nam",,Người mẫu; Diễn viên; Đạo diễn thời trang,,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Xuanlan2019.jpg
402,Lâm Thanh Nhã,nan,,,,,,
403,Quang Minh,https://vi.wikipedia.org/wiki/Quang_Minh_(di%E1%BB%85n_vi%C3%AAn),Võ Quang Minh,"Võ Quang Minh; 20 tháng 11, 1959 (65 tuổi); Gò Công, Tiền Giang, Việt Nam Cộng hòa",Hoa Kỳ; Việt Nam,Diễn viên,1985 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Quangminh.jpg
404,Trâm Anh,nan,,,,,,
405,Lê Thu,nan,,,,,,
406,Đắc Tín,nan,,,,,,
407,Ceri,nan,,,,,,
408,Bảo Tiên,nan,,,,,,
409,Hồng Anh,nan,,,,,,
410,Ngân Chi,https://vi.wikipedia.org/wiki/Ng%C3%A2n_Chi,,,Việt Nam,,2016 – nay,
411,Hoàng Long,nan,,,,,,
412,Trương Thế Vinh,https://vi.wikipedia.org/wiki/Tr%C6%B0%C6%A1ng_Th%E1%BA%BF_Vinh,Nguyễn Xuân Vinh,"Nguyễn Xuân Vinh; 22 tháng 5, 1984 (41 tuổi); Đà Nẵng, Việt Nam",Việt Nam,Ca sĩDiễn viênNgười mẫuNgười dẫn chương trình,2001 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Truong_The_Vinh.png
413,Lương Bích Hữu,https://vi.wikipedia.org/wiki/L%C6%B0%C6%A1ng_B%C3%ADch_H%E1%BB%AFu,Lương Bích Hảo[1],"Lương Bích Hảo[1]; 1 tháng 9, 1984 (41 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Ca sĩNgười mẫuDiễn viênNhạc sĩ,,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:L%C6%B0%C6%A1ng_B%C3%ADch_H%E1%BB%AFu_2022.jpg
414,Rocker Nguyen,https://vi.wikipedia.org/wiki/Rocker_Nguyen,,,Việt Nam,,2016 – 2018; 2022 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Rocker_Nguyen.png
415,Naomi,nan,,,,,,
416,Trần Nghĩa,https://vi.wikipedia.org/wiki/Tr%E1%BA%A7n_Ngh%C4%A9a_(di%E1%BB%85n_vi%C3%AAn),Trần Tuấn Nghĩa,"Trần Tuấn Nghĩa; 13 tháng 1, 1993 (32 tuổi); Chương Mỹ, Hà Nội, Việt Nam",,Diễn viên,2015 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Tran_Nghia.png
417,NSND Thanh Nam,https://vi.wikipedia.org/wiki/Thanh_Nam,,,Việt Nam,,,
418,Đức Sơn,nan,,,,,,
419,Dạ Chúc,nan,,,,,,
420,NSƯT Thành Lộc,https://vi.wikipedia.org/wiki/Th%C3%A0nh_L%E1%BB%99c,Nguyễn Thành Lộc,"Nguyễn Thành Lộc; 3 tháng 11, 1961 (63 tuổi); Sài Gòn, Việt Nam Cộng hòa",Việt Nam,Diễn viênDoanh nhânĐạo diễn sân khấu,1983 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Th%C3%A0nh_L%E1%BB%99c.png
421,NSƯT Diệu Đức,nan,,,,,,
422,Cẩm Ly,https://vi.wikipedia.org/wiki/C%E1%BA%A9m_Ly,Trần Thị Cẩm Ly,"Trần Thị Cẩm Ly; 30 tháng 3, 1970 (55 tuổi); Sài Gòn, Việt Nam Cộng hòa",Việt Nam,Ca sĩ,,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Cam_Ly_1.png
423,Minh Khang,nan,,,,,,
424,Quyền Linh,https://vi.wikipedia.org/wiki/Quy%E1%BB%81n_Linh,,,Việt Nam,,1992 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Quy%E1%BB%81n_Linh_2020.png
