model,metric,K,type,silhouette_cosine,DBI,CH,NMI,ARI,Purity
KMeans,cosine,12.0,unsupervised,0.2046629786491394,2.2993713790912524,2418.4580078125,,,
KMeans,cosine,12.0,supervised,,,,0.5476515934732552,0.3781400807990394,0.5328839646326821
DBSCAN,cosine,,unsupervised,0.5558120012283325,0.8370814562128632,48.36183166503906,,,
DBSCAN,cosine,,supervised,,,,0.0057867983491885,0.0006487746434921,0.1106593166684859
GMM,cosine,4.0,unsupervised,0.2637361814038791,2.181927815764888,4331.94960498866,,,
GMM,cosine,4.0,supervised,,,,0.2998795646210675,0.11636721918436412,0.2683386093221264
