STT,Diễn viên,Link_Wikipedia,Họ và tên,Ngày sinh,Quốc tịch,Nghề nghiệp,Năm hoạt động,Link ảnh
66,dustin nguyễn,https://vi.wikipedia.org/wiki/Dustin_Nguy%E1%BB%85n,Nguyễn Xuân Trí,"17 tháng 9, 1962",Hoa Kỳ; Việt Nam,"Diễn viên, Nhà làm phim",1985–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:DUSTIN_NGUY%E1%BB%84N_P1.jpg
67,duy khánh,https://vi.wikipedia.org/wiki/Duy_Kh%C3%A1nh_(di%E1%BB%85n_vi%C3%AAn),Nguyễn Hữu Duy Khánh,"4 tháng 1, 1995",Việt Nam,Diễn viênNghệ sĩ hàiNgười dẫn chương trình,2011–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Duy_Kh%C3%A1nh_ZhouZhou_2.jpg
68,dũng bino,,Nguyễn Đăng Dũng,1991,Việt Nam,Diễn viên,2015 - nay,
69,dược sĩ tiến,,Phạm Minh Hữu Tiến,1989,Việt Nam,"Dược sĩ, Diễn viên", 2018 - nay,
70,dạ chúc,,,2013,Việt Nam,Diễn viên nhí,2022 - nay,
71,ellie mễ tiên,,,,,,,
72,emma lê,,Emma Maria Fernandez Lê,2000,,"diễn viên, người mẫu",,https://images2.thanhnien.vn/528068263637045248/2023/9/10/emma-le-11-16943441718041123335015.jpeg
73,FAPtv (Huỳnh Phương,,,,,,,
74,gi a nguyễn,,,,,,,
75,gia bảo,,,,,,,
76,giàng a phá,,,,Việt Nam,,,
77,h'hen niê,https://vi.wikipedia.org/wiki/H%27Hen_Ni%C3%AA,,"15 tháng 5, 1992 (33 tuổi); Đắk Lắk, Việt Nam",Việt Nam,Người mẫuNhân vật truyền hình,2015–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:H%27HEN_NI%C3%8A_(cropped).png
78,henry nguyễn,,Henry Vig Nguyễn,,Việt Nam,Diễn viên,,
79,him phạm,,,,,Diễn viên,2023 - nay,
80,hiếu hiền,https://vi.wikipedia.org/wiki/Hi%E1%BA%BFu_Hi%E1%BB%81n,,,Việt Nam,,2003 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Hieuhien.jpg
81,hiếu nguyễn,,Hiếu Nguyễn,"17 tháng 9, 1990",Việt Nam,"Diễn viên, Người mẫu", 2014 - nay,
82,hiệp gà,https://vi.wikipedia.org/wiki/Hi%E1%BB%87p_G%C3%A0,Dương Đức Hiệp,"15 tháng 12, 1977 (47 tuổi)",Việt Nam,"nghệ sĩ hài, diễn viên điện ảnh",,
83,hoa thảo,,,,Việt Nam,Diễn viên,,
