model,metric,K,type,silhouette_cosine,DBI,CH,NMI,ARI,Purity
KMeans,cosine,8,unsupervised,0.1659319698810577,2.855003953242317,1471.1809305309812,,,
KMeans,cosine,8,supervised,,,,0.8514947059732427,0.6363960362739953,0.6578976094312848
DBSCAN,cosine,42,unsupervised,0.670060932636261,0.8439331337242674,275.12437126162064,,,
DBSCAN,cosine,42,supervised,,,,0.7577404370536293,0.5279607038746398,1.0
GMM,cosine,8,unsupervised,0.1658060467021701,2.8623878435989543,1470.3034918356027,,,
GMM,cosine,8,supervised,,,,0.8516405762472397,0.6387615367681269,0.6590983517083288

