model,metric,K,type,silhouette_cosine,DBI,CH,NMI,ARI,Purity,Homogeneity,Completeness,V_measure,eps,min_samples,n_components,silhouette_metric
KMeans,cosine,8.0,unsupervised,0.1659319549798965,2.8550039187934555,1471.1809461808864,,,,,,,,,,
KMeans,cosine,8.0,supervised,,,,0.8514947059732427,0.6363960362739953,0.6578976094312848,0.7522807375576258,0.9808538662555571,0.8514947059732428,,,,
DBSCAN,cosine,,unsupervised,0.670060932636261,0.843933157519553,275.1243713077141,,,,,,,0.03,20.0,,
DBSCAN,cosine,,supervised,,,,0.7577404370536293,0.5279607038746398,1.0,,,,0.03,20.0,,
GMM,,,unsupervised,0.1834925413131714,3.0047834536126237,1360.8050400048824,,,,,,,,,10.0,cosine
GMM,,,supervised,,,,0.9127979405048723,0.8198740646143676,0.7922170068769785,,,,,,10.0,
